Unnamed: 0,REPORTING_DATE,into_default_flag,PD
0,5/31/2009,0,5.3200000000000006e-05
1,6/30/2017,0,6.14e-05
2,5/31/2010,0,5.3e-05
3,7/31/2014,0,5.05e-05
4,12/31/2014,0,8.71e-05
5,7/31/2018,0,5.3200000000000006e-05
6,1/31/2015,0,6.1e-05
7,7/31/2009,0,6.13e-05
8,6/30/2016,0,5.2300000000000004e-05
9,5/31/2019,0,5.36e-05
10,10/31/2016,0,5.2900000000000005e-05
11,9/30/2018,0,8.58e-05
12,5/31/2009,0,5.3700000000000004e-05
13,6/30/2019,0,5.11e-05
14,2/28/2015,0,6.11e-05
15,3/31/2014,0,0.000174358
16,12/31/2015,0,5.21e-05
17,3/31/2016,0,5.3e-05
18,6/30/2019,0,5.3e-05
19,12/31/2013,0,5.25e-05
20,11/30/2010,0,6.04e-05
21,12/31/2016,0,5.96e-05
22,8/31/2011,0,5.28e-05
23,6/30/2018,0,4.8700000000000005e-05
24,7/31/2019,0,8.640000000000001e-05
25,5/31/2010,0,5.18e-05
26,12/31/2013,0,6.22e-05
27,5/31/2018,0,5.3299999999999995e-05
28,4/30/2010,0,5.920000000000001e-05
29,7/31/2016,0,5.27e-05
30,9/30/2012,0,8.950000000000001e-05
31,3/31/2019,0,5.44e-05
32,1/31/2015,0,0.00010057700000000001
33,1/31/2016,0,6.07e-05
34,8/31/2018,0,6.28e-05
35,6/30/2018,0,5.0600000000000003e-05
36,9/30/2006,0,6.14e-05
37,5/31/2015,0,5.27e-05
38,8/31/2019,0,6.13e-05
39,1/31/2018,0,5.12e-05
40,8/31/2016,0,5.3400000000000004e-05
41,7/31/2018,0,8.669999999999999e-05
42,4/30/2014,0,5.2900000000000005e-05
43,12/31/2010,0,8.82e-05
44,10/31/2014,0,6.13e-05
45,1/31/2017,0,5.3299999999999995e-05
46,10/31/2017,0,6.13e-05
47,8/31/2018,0,6.04e-05
48,3/31/2010,0,5.3e-05
49,4/30/2018,0,5.19e-05
50,9/30/2017,0,8.65e-05
51,7/31/2018,0,6.0599999999999996e-05
52,5/31/2017,0,5.429999999999999e-05
53,6/30/2011,0,5.2300000000000004e-05
54,1/31/2019,0,6.04e-05
55,12/31/2012,0,9.940000000000002e-05
56,12/31/2018,0,5.28e-05
57,12/31/2007,0,5.15e-05
58,12/31/2018,0,6.14e-05
59,12/31/2018,1,0.993575581
60,7/31/2018,0,6.1e-05
61,9/30/2018,0,8.58e-05
62,8/31/2017,0,0.000101895
63,6/30/2010,0,8.6e-05
64,8/31/2015,0,5.31e-05
65,7/31/2016,0,5.7999999999999994e-05
66,9/30/2012,0,8.340000000000001e-05
67,7/31/2009,0,5.36e-05
68,7/31/2016,0,6.13e-05
69,7/31/2018,0,6.159999999999999e-05
70,1/31/2014,0,5.11e-05
71,11/30/2012,0,5.8200000000000005e-05
72,12/31/2017,0,5.2600000000000005e-05
73,1/31/2019,0,6.07e-05
74,1/31/2010,0,5.3e-05
75,2/29/2008,0,8.72e-05
76,11/30/2015,0,5.920000000000001e-05
77,6/30/2017,0,0.00016523200000000002
78,5/31/2018,0,5.2900000000000005e-05
79,9/30/2011,0,5.31e-05
80,5/31/2014,0,5.31e-05
81,5/31/2016,0,5.96e-05
82,2/28/2013,0,8.329999999999999e-05
83,10/31/2016,0,8.79e-05
84,11/30/2017,0,5.36e-05
85,4/30/2017,0,6.22e-05
86,3/31/2011,0,5.11e-05
87,10/31/2011,0,6.07e-05
88,5/31/2017,0,5.3700000000000004e-05
89,3/31/2019,0,6.07e-05
90,1/31/2010,0,6.14e-05
91,6/30/2009,0,8.49e-05
92,8/31/2012,0,6.15e-05
93,2/28/2014,0,8.28e-05
94,10/31/2018,0,6.21e-05
